"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT)","Coefficent of Variation for Amount (percent) (AMOUNT_CV)"
"2023","United States","Annual Survey of State and Local Finance","LF0183","Expenditure - Direct Expenditure - General Expenditure - Judicial and Legal - Current Operations","001","State and Local","61,157,735","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0184","Expenditure - Direct Expenditure - General Expenditure - Judicial and Legal - Capital Outlay","001","State and Local","1,503,981","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0185","Expenditure - Direct Expenditure - General Expenditure - General Public Buildings - Total Expenditure","001","State and Local","19,813,491","0.70"
"2023","United States","Annual Survey of State and Local Finance","LF0186","Expenditure - Direct Expenditure - General Expenditure - General Public Buildings - Current Operations","001","State and Local","12,635,370","0.70"
"2023","United States","Annual Survey of State and Local Finance","LF0187","Expenditure - Direct Expenditure - General Expenditure - General Public Buildings - Capital Outlay","001","State and Local","7,178,121","1.60"
"2023","United States","Annual Survey of State and Local Finance","LF0188","Expenditure - Direct Expenditure - General Expenditure - Other Governmental Administration - Total Expenditure","001","State and Local","50,337,488","0.60"
"2023","United States","Annual Survey of State and Local Finance","LF0189","Expenditure - Direct Expenditure - General Expenditure - Other Governmental Administration - Current Operations","001","State and Local","46,774,703","0.60"
"2023","United States","Annual Survey of State and Local Finance","LF0190","Expenditure - Direct Expenditure - General Expenditure - Other Governmental Administration - Capital Outlay","001","State and Local","3,562,785","2.50"
"2023","United States","Annual Survey of State and Local Finance","LF0191","Expenditure - Direct Expenditure - General Expenditure - Interest on General Debt","001","State and Local","104,086,707","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0192","Expenditure - Direct Expenditure - General Expenditure - Miscellaneous Commercial Activities - Total Expenditures","001","State and Local","17,937,619","1.10"
"2023","United States","Annual Survey of State and Local Finance","LF0193","Expenditure - Direct Expenditure - General Expenditure - Miscellaneous Commercial Activities - Current Operations","001","State and Local","17,537,263","1.10"
"2023","United States","Annual Survey of State and Local Finance","LF0194","Expenditure - Direct Expenditure - General Expenditure - Miscellaneous Commercial Activities - Capital Outlay","001","State and Local","400,356","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0195","Expenditure - Direct Expenditure - General Expenditure - Other and Unallocable - Total Expenditures","001","State and Local","233,318,638","0.70"
"2023","United States","Annual Survey of State and Local Finance","LF0196","Expenditure - Direct Expenditure - General Expenditure - Other and Unallocable - Current Operations","001","State and Local","204,127,161","0.80"
"2023","United States","Annual Survey of State and Local Finance","LF0197","Expenditure - Direct Expenditure - General Expenditure - Other and Unallocable - Capital Outlay","001","State and Local","29,191,477","1.20"
"2023","United States","Annual Survey of State and Local Finance","LF0198","Expenditure - Direct Expenditure - Utility Expenditure - Total Expenditure","001","State and Local","300,331,187","0.50"
"2023","United States","Annual Survey of State and Local Finance","LF0199","Expenditure - Direct Expenditure - Utility Expenditure - Current Operations","001","State and Local","212,572,286","0.70"
"2023","United States","Annual Survey of State and Local Finance","LF0200","Expenditure - Direct Expenditure - Utility Expenditure - Capital Outlay","001","State and Local","71,586,490","1.00"
"2023","United States","Annual Survey of State and Local Finance","LF0201","Expenditure - Direct Expenditure - Utility Expenditure - Interest on Debt","001","State and Local","16,172,411","0.90"
"2023","United States","Annual Survey of State and Local Finance","LF0202","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Total Expenditure","001","State and Local","94,737,525","1.60"
"2023","United States","Annual Survey of State and Local Finance","LF0203","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Current Operations","001","State and Local","60,696,707","2.10"
"2023","United States","Annual Survey of State and Local Finance","LF0204","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Capital Outlay","001","State and Local","25,961,885","2.80"
"2023","United States","Annual Survey of State and Local Finance","LF0205","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Interest on Debt","001","State and Local","8,078,932","1.70"
"2023","United States","Annual Survey of State and Local Finance","LF0206","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Total Expenditure","001","State and Local","97,840,841","0.40"
"2023","United States","Annual Survey of State and Local Finance","LF0207","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Current Operations","001","State and Local","79,460,284","0.50"
"2023","United States","Annual Survey of State and Local Finance","LF0208","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Capital Outlay","001","State and Local","14,008,683","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0209","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Interest on Debt","001","State and Local","4,371,874","0.30"
"2023","United States","Annual Survey of State and Local Finance","LF0210","Expenditure - Direct Expenditure - Utility Expenditure - Gas Supply - Total Expenditure","001","State and Local","8,573,471","0.40"
"2023","United States","Annual Survey of State and Local Finance","LF0211","Expenditure - Direct Expenditure - Utility Expenditure - Gas Supply - Current Operations","001","State and Local","7,287,172","0.40"
"2023","United States","Annual Survey of State and Local Finance","LF0212","Expenditure - Direct Expenditure - Utility Expenditure - Gas Supply - Capital Outlay","001","State and Local","729,428","1.50"
"2023","United States","Annual Survey of State and Local Finance","LF0213","Expenditure - Direct Expenditure - Utility Expenditure - Gas Supply - Interest on Debt","001","State and Local","556,871","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0214","Expenditure - Direct Expenditure - Utility Expenditure - Transit - Total Expenditure","001","State and Local","99,179,350","0.40"
"2023","United States","Annual Survey of State and Local Finance","LF0215","Expenditure - Direct Expenditure - Utility Expenditure - Transit - Current Operations","001","State and Local","65,128,122","0.60"
"2023","United States","Annual Survey of State and Local Finance","LF0216","Expenditure - Direct Expenditure - Utility Expenditure - Transit - Capital Outlay","001","State and Local","30,886,494","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0217","Expenditure - Direct Expenditure - Utility Expenditure - Transit - Interest on Debt","001","State and Local","3,164,734","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0218","Expenditure - Direct Expenditure - Liquor Stores - Total Expenditure","001","State and Local","11,439,441","0.50"
"2023","United States","Annual Survey of State and Local Finance","LF0219","Expenditure - Direct Expenditure - Liquor Stores - Current Operations","001","State and Local","11,395,596","0.50"
"2023","United States","Annual Survey of State and Local Finance","LF0220","Expenditure - Direct Expenditure - Liquor Stores - Capital Outlay","001","State and Local","43,845","1.40"
"2023","United States","Annual Survey of State and Local Finance","LF0221","Insurance Trust Expenditure - Total Expenditure","001","State and Local","440,443,875","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0222","Insurance Trust Expenditure - Unemployment Compensation - Total Expenditure","001","State and Local","26,966,209","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0223","Insurance Trust Expenditure - Unemployment Compensation - Benefit Payments","001","State and Local","26,821,830","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0224","Insurance Trust Expenditure - Unemployment Compensation - Withdrawals","001","State and Local","144,379","0.00"
